Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;NULL;NULL;955;1303;1350;1694;2097;2616;2979;3716;3404;3443;4120;3959;3928;4146;4504;4852;5186;5415;5922;2907;4191;5882
ALGERIA;1090;874;827;879;903;1006;1190;1257;1254;1417;1513;1349;1499;1539;1677;1757;1715;1911;2136;2839;3638;4530;5058;5610;5732;1386;344;2865
AMERICAN SAMOA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANDORRA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGOLA;3;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANGUILLA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ANTIGUA AND BARBUDA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARGENTINA;3815;4296;4517;4592;4786;4953;4762;3008;3088;3904;3894;3892;4167;4614;4981;5307;6686;7266;6746;6517;7807;10417;12213;11130;9114;2841;833;5142
ARMENIA;NULL;NULL;NULL;NULL;NULL;111;110;131;169;221;269;329;468;516;526;563;715;965;1083;1198;1187;1263;1482;1623;1868;346;423;1139
ARUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRALIA;2519;2732;2933;3161;3210;3498;3443;3461;3388;4369;4756;4941;5462;5808;6276;7103;7788;8212;9052;9480;9810;10390;10932;11403;11624;2832;301;5226
AUSTRIA;NULL;NULL;NULL;NULL;NULL;7528;8350;8266;8384;8371;8206;10042;9876;9677;10121;9882;9874;10960;10671;10994;10628;11534;11491;11043;11902;3964;7522;11871
AZERBAIJAN;NULL;432;654;1146;1204;1326;1130;1141;1475;1473;887;890;791;1048;1145;1820;2308;2829;3307;3319;3256;3592;3447;3919;4579;1165;975;1345
BAHAMAS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BAHRAIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3676;1842;1744;1520;1550;464;NULL;NULL
BANGLADESH;830;911;866;992;1103;1128;1075;1158;1414;1565;1767;1819;2327;875;2254;1913;2127;2273;1460;NULL;NULL;NULL;NULL;NULL;1564;NULL;NULL;NULL
BARBADOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BELARUS;NULL;NULL;969;901;934;1289;1387;1436;1108;515;572;525;517;380;316;415;320;493;708;741;671;468;706;836;963;254;477;344
BELGIUM;NULL;5645;7548;7776;6410;7932;6570;6773;7268;8783;9327;7852;8371;8887;8775;8801;9727;9576;10803;10991;10835;13372;14628;15627;17321;7108;8593;16005
BELIZE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BENIN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BERMUDA;NULL;NULL;NULL;NULL;NULL;NULL;140;145;141;156;161;170;181;192;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
