Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFGHANISTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ALBANIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1062;1247;1711;2191;2469;3156;2857;3341;3784;4070;4643;5340;6128;2604;5515
ALGERIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AMERICAN SAMOA;34;35;26;36;41;44;36;NULL;NULL;NULL;24.5;25.3;24.1;24.3;23.5;23.1;22.6;22.6;20.8;21.6;20.3;20.1;20;20.2;19.2;0.9;NULL
ANDORRA;NULL;NULL;NULL;NULL;2347;2949;3516;3387;3138;2791;2418;2227;2189;2059;1830;1808;2242;2238;2328;2363;2663;2819;3003;3042;3090;1872;1949
ANGOLA;9;21;45;52;45;51;67;91;107;194;210;121;195;294;366;425;481;528;650;595;592;397;261;218;218;64;64
ANGUILLA;39;37;43;44;47;44;48;44;47;54;62;73;78;68;58;62;66;65;69;71;73;79;68.3;55;95;25.4;28.4
ANTIGUA AND BARBUDA;220;228;240;234;232;207;215;218;239;246;245;254;262;266;234;230;241;247;243;249;250;265;247;269;301;125;169.4
ARGENTINA;2289;2614;2764;3012;2898;2909;2620;2820;2995;3457;3823;4173;4562;4700;4308;6800;6703;6497;6510;7165;6816;6668;6711;6942;7399;2090;297
ARMENIA;12;13;23;32;41;45;123;162;206;263;319;382;511;558;575;684;758;963;1084;1204;1192;1260;1495;1652;1894;375;870
ARUBA;619;641;650;647;683;721;691;643;642;728;733;694;772;827;813;824;869;904;979;1072;1225;1102;1070.5;1082;1119;368;807
AUSTRALIA;NULL;NULL;NULL;3825;4109;4530;4435;4420;4354;4774;5020;5064;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AUSTRIA;17173;17090;16647;17352;17467;17982;18180;18611;19078;19374;19952;20269;20773;21935;21355;22004;23012;24151;24813;25291;26728;28121;29460;30816;31884;15091;12728
AZERBAIJAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;576;768;989;693;682;732;1043;1005;1280;1562;1986;2130;2160;1922;2044;2454;2633;2876;587;NULL
BAHAMAS;1598;1633;1618;1528;1577;1544;1538;1513;1505;1561;1625;1613;1538;1469;1336;1378;1355;1431;1377;1444;1496;1499;1452;1633;1807;441;891
BAHRAIN;1396;1201;1611;1640;2019;2420;2789;3167;2955;3514;3914;4519;4935;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3964;3990;4373;4366;3849;827;2182
BANGLADESH;156;166;182;172;173;199;207;207;245;271;208;200;289;467;267;139;157;160;104;134;126;182;237;267;323;182;135
BARBADOS;442;447;472;512;515;545;507;498;531;552;548;563;575;568;519;532;568;536;509;521;592;632;664;680;523;207.4;144
BELARUS;NULL;NULL;NULL;363;315;262;221;209;229;239;253;292;368;477;512;677;783;993;1003;1080;966;1929;2000;2142;2201;577;787
BELGIUM;5560;5829;6037;6179;6369;6457;6452;6720;6690;6710;6747;6995;7045;7165;6815;7186;7494;7560;7684;7887;8355;7481;8385;9119;9343;2584;3243
BELIZE;131;133;146;176;181;196;196;200;221;231;237;247;251;245;232;242;250;277;294;321;341;386;427;489;503;144.1;219
BENIN;138;143;148;152;80;96;88;72;175;174;176;180;186;188;190;199;209;220;231;242;255;267;281;295;309;325;NULL
BERMUDA;387;390;380;370;355;332;278;284;257;272;270;299;306;264;236;232;236;232;236;224;220;244;270;282;269;42.1;72.2
BHUTAN;4.8;5.2;5.4;6.2;7.2;7.6;6.4;5.6;6.3;9.2;13.6;17.3;21;28;23;41;66;105;116;133;155;210;255;274;316;29.8;0.001
BOLIVIA, PLURINATIONAL STATE OF;284;313;355;387;342;319;316;334;427;480;524;521;573;594;599;679;711;798;798;871;882;961;1109;1142;1239;323.3;180
BONAIRE;59;65;63;62;61;51;50;52;62;63;63;64;74;74;67;71;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;115;148;147;171;139;160;165;190;217;256;306;322;311;365;392;439;529;536;678;778;923;1053;1198;197;502
BOTSWANA;521;512;607;750;843;1104;1193;1274;1406;1523;1474;1426;1736;2101;1721;1973;NULL;1614;1544;1966;1528;1574;1623;1655;NULL;328.5;NULL
BRAZIL;1991;2666;2850;4818;5107;5313;4773;3785;4133;4794;5358;5017;5026;5050;4802;5161;5433;5677;5813;6430;6306;6547;6589;6621;6353;2146;746
